list_name,list_head
LA FRANCE INSOUMISE,Mme Manon AUBRY
UNE FRANCE ROYALE AU COEUR DE L'EUROPE,M. Robert DE PREVOISIN
LA LIGNE CLAIRE,M. Renaud CAMUS
PARTI PIRATE,Mme Florie MARIE
"RENAISSANCE SOUTENUE PAR LA RÉPUBLIQUE EN MARCHE, LE MODEM ET SES PARTENAIRES",Mme Nathalie LOISEAU
DÉMOCRATIE REPRÉSENTATIVE,M. Hamada TRAORÉ
"ENSEMBLE PATRIOTES ET GILETS JAUNES : POUR LA FRANCE, SORTONS DE L'UNION EUROPÉENNE !",M. Florian PHILIPPOT
PACE - PARTI DES CITOYENS EUROPÉENS,M. Audric ALEXANDRE
URGENCE ÉCOLOGIE,M. Dominique BOURG
LISTE DE LA RECONQUÊTE,M. Vincent VAUCLIN
LES EUROPÉENS,M. Jean-Christophe LAGARDE
ENVIE D'EUROPE ÉCOLOGIQUE ET SOCIALE,M. Raphaël GLUCKSMANN
PARTI FÉDÉRALISTE EUROPÉEN - POUR UNE EUROPE QUI PROTÈGE SES CITOYENS,M. Yves GERNIGON
MOUVEMENT POUR L'INITIATIVE CITOYENNE,M. Gilles HELGEN
LE COURAGE DE DÉFENDRE LES FRANÇAIS AVEC NICOLAS DUPONT-AIGNAN. DEBOUT LA FRANCE ! - CNIP,M. Nicolas DUPONT-AIGNAN
ALLONS ENFANTS,Mme Sophie CAILLAUD
DÉCROISSANCE 2019,Mme Thérèse DELFEL
"LUTTE OUVRIÈRE - CONTRE LE GRAND CAPITAL, LE CAMP DES TRAVAILLEURS",Mme Nathalie ARTHAUD
POUR L'EUROPE DES GENS CONTRE L'EUROPE DE L'ARGENT,M. Ian BROSSAT
ENSEMBLE POUR LE FREXIT,M. François ASSELINEAU
LISTE CITOYENNE DU PRINTEMPS EUROPÉEN AVEC BENOÎT HAMON SOUTENUE PAR GÉNÉRATION.S ET DÈME-DIEM 25,M. Benoît HAMON
À VOIX ÉGALES,Mme Nathalie TOMASINI
"PRENEZ LE POUVOIR, LISTE SOUTENUE PAR MARINE LE PEN",M. Jordan BARDELLA
NEUTRE ET ACTIF,Mme Cathy CORBET
PARTI RÉVOLUTIONNAIRE COMMUNISTES,M. Antonio SANCHEZ
ESPÉRANTO - LANGUE COMMUNE ÉQUITABLE POUR L'EUROPE,M. Pierre DIEUMEGARD
ÉVOLUTION CITOYENNE,M. Christophe CHALENÇON
"ALLIANCE JAUNE, LA RÉVOLTE PAR LE VOTE",M. Francis LALANNE
UNION DE LA DROITE ET DU CENTRE,M. François-Xavier BELLAMY
EUROPE ÉCOLOGIE,M. Yannick JADOT
PARTI ANIMALISTE,Mme Hélène THOUY
"LES OUBLIÉS DE L'EUROPE - ARTISANS, COMMERÇANTS, PROFESSIONS LIBÉRALES ET INDÉPENDANTS - ACPLI -",M. Olivier BIDOU
UDLEF (UNION DÉMOCRATIQUE POUR LA LIBERTÉ ÉGALITÉ FRATERNITÉ),M. Christian PERSON
UNE EUROPE AU SERVICE DES PEUPLES,M. Nagib AZERGUI
